Label,Cluster,Color,PassOne,PassOneCol
O54179.STRCO|33.428,0,#2f4f4f,0,#2f4f4f
Q8U366.PYRFU|20.359,7,#808000,7,#808000
Q973J7.SULTO|8.320,7,#808000,7,#808000
Q973W8.SULTO|12.335,7,#808000,7,#808000
Q9HLR9.THEAC|6.377,7,#808000,7,#808000
A0A0U5BZ02.XANCI|19.356,8.0,#483d8b,8,#483d8b
Q9HTX1.PSEAE|12.346,8.0,#483d8b,8,#483d8b
Q9KRL8.VIBCH|16.353,8.0,#483d8b,8,#483d8b
Y4007.STRCO|39.376,8.0,#483d8b,8,#483d8b
Q2FVB9.STAA8|16.376,9,#008080,9,#008080
Q8XEG8.ECO57|47.408,9,#008080,9,#008080
Q97CC5.THEVO|27.411,9,#008080,9,#008080
Q9A856.CAUVC|31.388,9,#008080,9,#008080
Q9I1Q7.PSEAE|34.397,9,#008080,9,#008080
A0A0A0F577.ECOLX|39.413,10.0,#b8860b,10,#b8860b
G4UU99.NEUT9|52.417,10.0,#b8860b,10,#b8860b
LIZ1.SCHPO|36.407,10.0,#b8860b,10,#b8860b
Q8Y3L9.LISMO|17.359,10.0,#b8860b,10,#b8860b
THI73.YEAST|86.451,10.0,#b8860b,10,#b8860b
YJ7D.SCHPO|81.445,10.0,#b8860b,10,#b8860b
A0A0E1EPM8.STRPY|10.353,11,#4682b4,11,#4682b4
I3XGH7.RHIFR|18.362,11,#4682b4,11,#4682b4
Q8Y6H4.LISMO|13.376,11,#4682b4,11,#4682b4
Q97BG6.THEVO|17.357,11,#4682b4,11,#4682b4
Q97C48.THEVO|19.351,11,#4682b4,11,#4682b4
Q97FI4.CLOAB|17.361,11,#4682b4,11,#4682b4
Q98B83.RHILO|60.407,11,#4682b4,11,#4682b4
Q9FCG1.STRCO|24.364,11,#4682b4,11,#4682b4
Q9KKX8.VIBCH|40.383,11,#4682b4,11,#4682b4
Q9KWU2.SPHSX|13.348,11,#4682b4,11,#4682b4
Q9KYE9.STRCO|8.359,11,#4682b4,11,#4682b4
Q9KYI2.STRCO|15.371,11,#4682b4,11,#4682b4
YHJO.BACSU|19.353,11,#4682b4,11,#4682b4
A9CGF2.AGRFC|30.354,12,#d2691e,12,#d2691e
AMPG1.RICPR|10.405,12,#d2691e,12,#d2691e
Q7BQD2.PSEST|7.367,12,#d2691e,12,#d2691e
Q8YC70.BRUME|8.339,12,#d2691e,12,#d2691e
Q8YQ15.NOSS1|8.358,12,#d2691e,12,#d2691e
Q8Z8V3.SALTI|17.369,12,#d2691e,12,#d2691e
O31131.BRELN|13.405,13,#9acd32,13,#9acd32
Q8NU65.CORGL|19.414,13,#9acd32,13,#9acd32
Q8X120.EXODE|120.524,13,#9acd32,13,#9acd32
Q9CF47.LACLA|24.427,13,#9acd32,13,#9acd32
Q9ZC50.YERPE|23.431,13,#9acd32,13,#9acd32
O16697.CAEEL|36.432,14.0,#32cd32,14,#32cd32
Q19845.CAEEL|45.446,14.0,#32cd32,14,#32cd32
Q961H2.DROME|54.453,14.0,#32cd32,14,#32cd32
Q9VY22.DROME|66.470,14.0,#32cd32,14,#32cd32
O54630.HALSA|24.368,15,#8fbc8f,15,#8fbc8f
P95852.SACSO|9.333,15,#8fbc8f,15,#8fbc8f
Q8YWH2.NOSS1|17.343,15,#8fbc8f,15,#8fbc8f
Q8ZXX0.PYRAE|10.352,15,#8fbc8f,15,#8fbc8f
A9CIR5.AGRFC|18.359,16,#800080,16,#800080
Q92XG9.RHIME|14.352,16,#800080,16,#800080
Q9KRK6.VIBCH|22.366,16,#800080,16,#800080
Q9RSM6.DEIRA|32.418,16,#800080,16,#800080
Y1634.MYCTU|25.423,16,#800080,16,#800080
A0A0E1EPV8.STRPY|27.401,17.0,#b03060,17,#b03060
A0A0H3JIV2.ECO57|36.398,17.0,#b03060,17,#b03060
Q7X233.STAAU|33.313,17.0,#b03060,17,#b03060
Q9KLN6.VIBCH|36.395,17.0,#b03060,17,#b03060
MFSD9.HUMAN|49.427,18.0,#9932cc,18,#9932cc
Q19296.CAEEL|16.403,18.0,#9932cc,18,#9932cc
Q8KDQ3.CHLTE|9.374,18.0,#9932cc,18,#9932cc
O17785.CAEEL|33.439,19.0,#ff4500,19,#ff4500
O76837.CAEEL|25.400,19.0,#ff4500,19,#ff4500
Q18472.CAEEL|18.397,19.0,#ff4500,19,#ff4500
Q20265.CAEEL|46.427,19.0,#ff4500,19,#ff4500
Q9XXC1.CAEEL|44.436,19.0,#ff4500,19,#ff4500
ANTR2.ARATH|137.500,20.0,#00ced1,20,#00ced1
O45678.CAEEL|27.403,20.0,#00ced1,20,#00ced1
Q8MMD6.DROME|21.407,20.0,#00ced1,20,#00ced1
Q94886.DROME|14.423,20.0,#00ced1,20,#00ced1
Q9VPX2.DROME|42.442,20.0,#00ced1,20,#00ced1
Q8XKW0.CLOPE|26.404,25.1,#ff8c00,25,#dc143c
Q9KBG2.BACHD|16.398,25.1,#ff8c00,25,#dc143c
Q8Y7M4.LISMO|13.349,21,#ffd700,21,#ffd700
Q96ZI2.SULTO|36.365,21,#ffd700,21,#ffd700
Q9KG75.BACHD|5.341,21,#ffd700,21,#ffd700
YWOG.BACSU|15.348,21,#ffd700,21,#ffd700
O58825.PYRHO|10.360,22,#0000cd,22,#0000cd
Q55937.SYNY3|19.365,22,#0000cd,22,#0000cd
Q8P8I8.XANCP|24.370,22,#0000cd,22,#0000cd
Q978I2.THEVO|17.358,22,#0000cd,22,#0000cd
Q97IY3.CLOAB|13.357,22,#0000cd,22,#0000cd
Q9EW91.9ACTN|13.358,22,#0000cd,22,#0000cd
Q9K646.BACHD|13.358,22,#0000cd,22,#0000cd
Q9KG22.BACHD|29.373,22,#0000cd,22,#0000cd
TAP.MYCFO|12.364,22,#0000cd,22,#0000cd
YFIS.BACSU|15.364,22,#0000cd,22,#0000cd
YFKL.BACSU|12.351,22,#0000cd,22,#0000cd
Q92RK8.RHIME|23.360,23,#deb887,23,#deb887
Q96Y06.SULTO|9.344,23,#deb887,23,#deb887
Q9I247.PSEAE|4.339,23,#deb887,23,#deb887
Q8KR58.ESCFE|20.359,24,#00ff00,24,#00ff00
Q9AA55.CAUVC|30.391,24,#00ff00,24,#00ff00
Q9S243.STRCO|13.352,24,#00ff00,24,#00ff00
Y2456.MYCTU|16.365,24,#00ff00,24,#00ff00
Q7JZE2.DROME|46.458,20.1,#00fa9a,20,#00ced1
Q96XQ4.SULTO|9.336,20.1,#00fa9a,20,#00ced1
D7GFS1.PROFC|22.419,25.0,#dc143c,25,#dc143c
Q8P881.XANCP|26.418,25.0,#dc143c,25,#dc143c
Q8XVV0.RALSO|19.414,25.0,#dc143c,25,#dc143c
Q92TU0.RHIME|19.421,25.0,#dc143c,25,#dc143c
Q9I431.PSEAE|11.401,25.0,#dc143c,25,#dc143c
Q9VPD9.DROME|28.441,18.2,#00bfff,18,#9932cc
O62376.CAEEL|16.394,19.1,#f4a460,19,#ff4500
O69759.PSEFL|31.392,19.1,#f4a460,19,#ff4500
Q9I4J1.PSEAE|26.388,19.1,#f4a460,19,#ff4500
Q8MPU6.CAEEL|90.445,26,#0000ff,26,#0000ff
Q92BU8.LISIN|14.347,26,#0000ff,26,#0000ff
YQ92.SCHPO|20.407,26,#0000ff,26,#0000ff
O06742.BACIU|18.364,18.1,#a020f0,18,#9932cc
O25793.HELPY|8.347,18.1,#a020f0,18,#9932cc
Q8PVU8.METMA|11.346,18.1,#a020f0,18,#9932cc
Q97CG2.THEVO|16.347,18.1,#a020f0,18,#9932cc
A0A1A5JJW4.RHILI|24.356,27,#adff2f,27,#adff2f
A0A6I4LHI2.9ENTR|8.341,27,#adff2f,27,#adff2f
Q92V77.RHIME|8.347,27,#adff2f,27,#adff2f
A0A1A5IAI4.RHILI|41.396,17.1,#ff6347,17,#b03060
A9CFQ9.AGRFC|27.373,17.1,#ff6347,17,#b03060
Q9I0Y2.PSEAE|28.357,17.1,#ff6347,17,#b03060
Q9I5C8.PSEAE|21.369,17.1,#ff6347,17,#b03060
Q9L8Q4.PSEST|17.351,17.1,#ff6347,17,#b03060
Y2994.MYCTU|18.356,17.1,#ff6347,17,#b03060
NART.STACT|13.344,28,#da70d6,28,#da70d6
O30210.ARCFU|17.354,28,#da70d6,28,#da70d6
O66589.AQUAE|21.406,28,#da70d6,28,#da70d6
Q8VUK1.HALHD|23.380,28,#da70d6,28,#da70d6
Q8ZWZ3.PYRAE|12.326,28,#da70d6,28,#da70d6
Q9EYN6.SYNPW|18.450,28,#da70d6,28,#da70d6
Q8TR38.METAC|18.398,14.1,#b0c4de,14,#32cd32
Q9RSF5.DEIRA|46.397,14.1,#b0c4de,14,#32cd32
S22AI.MOUSE|13.363,14.1,#b0c4de,14,#32cd32
Q9LAA0.AERHY|27.362,8.3,#ff00ff,8,#483d8b
B8FVY2.DESHD|13.347,10.1,#f0e68c,10,#b8860b
Q8DNZ1.STRR6|13.344,10.1,#f0e68c,10,#b8860b
Q92Y26.RHIME|19.357,8.2,#fa8072,8,#483d8b
A0A0U5FHH1.XANCI|29.361,8.1,#ffff54,8,#483d8b
D6EJD0.STRLI|29.361,8.1,#ffff54,8,#483d8b
O30679.RHORH|8.341,8.1,#ffff54,8,#483d8b
Q8NLD6.CORGL|19.353,8.1,#ffff54,8,#483d8b
Q9PCQ0.XYLFA|73.403,8.1,#ffff54,8,#483d8b
Q8NNT7.CORGL|10.351,5.2,#6495ed,5,#708090
Q8U4E5.PYRFU|8.345,5.2,#6495ed,5,#708090
Q8ZVF8.PYRAE|4.322,5.2,#6495ed,5,#708090
Q8KCE7.CHLTE|27.390,5.1,#dda0dd,5,#708090
Q9C9R9.ARATH|11.379,5.1,#dda0dd,5,#708090
Q9I008.PSEAE|29.430,3.2,#90ee90,3,#2e8b57
F6MF49.STAAU|18.410,3.1,#7b68ee,3,#2e8b57
Q97DX4.CLOAB|23.413,3.1,#7b68ee,3,#2e8b57
Q97TH3.CLOAB|16.408,3.1,#7b68ee,3,#2e8b57
Q9I0P8.PSEAE|19.362,1.2,#afeeee,1,#556b2f
Q9X4X9.9PSED|27.377,1.2,#afeeee,1,#556b2f
O30222.ARCFU|15.357,1.1,#7fffd4,1,#556b2f
O66181.ARTSP|15.353,1.1,#7fffd4,1,#556b2f
