Label,Cluster,Color
B7ZQ46.XENLA|512.621,0,#2f4f4f
A5K370.PLAVS|248.357,12,#d2691e
IF4A.CAEEL|254.363,12,#d2691e
P90529.DICDI|249.356,12,#d2691e
Q9SYS8.MAIZE|67.176,12,#d2691e
O09461.9FLAV|1967.2098,13,#9acd32
O73463.MDMV|1338.1470,13,#9acd32
O92645.CYVV|1399.1520,13,#9acd32
P90213.9POTV|1632.1761,13,#9acd32
POLG.BSTV1|1370.1504,13,#9acd32
POLG.PVYHU|1396.1517,13,#9acd32
POLG.SBMVG|1400.1524,13,#9acd32
POLG.TUMVJ|1459.1588,13,#9acd32
Q88507.TEV|1401.1522,13,#9acd32
Q98808.9POTV|239.360,13,#9acd32
Q9PYF0.9POTV|1399.1528,13,#9acd32
Q9QBT7.PVMA|1394.1514,13,#9acd32
Q9QN08.9POTV|1424.1553,13,#9acd32
Q9WA54.9POTV|346.470,13,#9acd32
B7Z0G1.DROME|558.663,14,#32cd32
O29889.ARCFU|315.419,14,#32cd32
O51997.HALSA|330.434,14,#32cd32
O83395.TREPA|457.562,14,#32cd32
Q9UYC4.PYRAB|311.415,14,#32cd32
Q9YD39.AERPE|409.511,14,#32cd32
YRF11.YEAST|1028.1134,14,#32cd32
CDC28.SCHPO|613.749,15,#8fbc8f
DEAHB.ARATH|503.633,15,#8fbc8f
DHR1.YEAST|686.817,15,#8fbc8f
HRPA.BORBU|207.334,15,#8fbc8f
HRPA.ECOLI|277.404,15,#8fbc8f
O83538.TREPA|210.342,15,#8fbc8f
PRH1.SCHPO|290.426,15,#8fbc8f
PRP16.SCHPO|686.821,15,#8fbc8f
PRP2.YEAST|426.557,15,#8fbc8f
Q52902.9RHIZ|204.333,15,#8fbc8f
Q9VR29.DROME|247.381,15,#8fbc8f
Q9VY50.DROME|46.175,15,#8fbc8f
DED1.SCHPO|415.525,16,#800080
DED1.YEAST|385.494,16,#800080
RH37.ARATH|397.513,16,#800080
HLTF.RABIT|830.947,17,#b03060
O22731.ARATH|1116.1227,17,#b03060
RAD16.YEAST|619.734,17,#b03060
RAD5.SCHPO|963.1078,17,#b03060
RAD5.YEAST|994.1115,17,#b03060
RHP16.SCHPO|690.805,17,#b03060
TTF2.HUMAN|991.1106,17,#b03060
ULS1.YEAST|1443.1559,17,#b03060
YBMA.SCHPO|647.767,17,#b03060
YF2C.SCHPO|723.838,17,#b03060
YG42.SCHPO|865.980,17,#b03060
HELX.METJA|266.374,18,#9932cc
Q9UZM4.PYRAB|275.386,18,#9932cc
Q9Y9V1.AERPE|237.346,18,#9932cc
Q9Y9Z5.AERPE|281.396,18,#9932cc
ETF1.VACCC|350.459,19,#ff4500
Q04332.LACKL|257.381,19,#ff4500
VF706.ASFM2|420.538,19,#ff4500
YKP4.KLULA|274.399,19,#ff4500
A0A2I2YA69.GORGO|604.714,20,#00ced1
DDX46.DICDI|741.851,20,#00ced1
GLH4.CAEEL|990.1099,20,#00ced1
RH42.ARATH|761.871,20,#00ced1
MFD.BORBU|779.889,21,#ff8c00
MFD.HELPJ|679.789,21,#ff8c00
MFD.MYXXA|852.962,21,#ff8c00
O83364.TREPA|796.906,21,#ff8c00
DBP6.SCHPO|417.532,22,#ffd700
DDX51.DROME|430.543,22,#ffd700
YO12.CAEEL|380.494,22,#ffd700
A0A096MWV8.PAPAN|273.382,23,#0000cd
DDX20.HUMAN|295.404,23,#0000cd
Q9TY94.PLAF7|304.413,23,#0000cd
Q9V3C4.DROME|258.367,23,#0000cd
SUB2.SCHPO|281.390,23,#0000cd
A0A0F7XRD8.CHLPN|425.542,24,#deb887
UVRB.AQUAE|432.548,24,#deb887
UVRB.THEMA|425.541,24,#deb887
CHD2.HUMAN|791.905,25,#00ff00
CHD3.DROME|586.700,25,#00ff00
CHD5.HUMAN|1024.1138,25,#00ff00
CHR4.ARATH|1004.1119,25,#00ff00
CHR7.ARATH|524.638,25,#00ff00
HRP1.SCHPO|704.818,25,#00ff00
CLSY3.ARATH|1199.1318,26,#00fa9a
O41030.PBCV1|321.432,26,#00fa9a
Q73CP4.BACC1|452.565,26,#00fa9a
Q9SJT3.ARATH|620.738,26,#00fa9a
A0A2J8V4C3.PONAB|496.610,27,#dc143c
DDX1.DROME|486.603,27,#dc143c
O30320.ARCFU|382.494,28,#00bfff
O52003.HALSA|465.576,28,#00bfff
O58633.PYRHO|337.457,28,#00bfff
Q9V0B0.PYRAB|382.496,28,#00bfff
Q9X085.THEMA|348.468,28,#00bfff
Q9YF27.AERPE|442.553,28,#00bfff
YFML.BACSU|228.335,27,#dc143c
RHLE-ECOLI|231.340,27,#dc143c
Q9ZI52.ANAVA|232.341,27,#dc143c
Q1D015.MYXXD|254.363,27,#dc143c
VF113.ASFB7|553.672,26,#00fa9a
O87951.VIBAL|229.338,27,#dc143c
O27466.METTH|350.466,26,#00fa9a
O28814.ARCFU|348.464,26,#00fa9a
O74070.CENSM|332.445,26,#00fa9a
Q9V1Z5.PYRAB|349.467,26,#00fa9a
Y1505.METJA|338.453,26,#00fa9a
DDX6.CAVPO|309.418,27,#dc143c
DHH1.YEAST|269.378,27,#dc143c
Q9SEV5.GUITH|235.344,27,#dc143c
NTP1.FOWPN|368.483,26,#00fa9a
NTP1.HAEPV|375.490,26,#00fa9a
NTP1.MCV1|365.480,26,#00fa9a
NTP1.MSEPV|375.490,26,#00fa9a
NTP1.VAR67|366.481,26,#00fa9a
DBPA.ECOLI|227.336,27,#dc143c
ISW1.CAEEL|435.549,26,#00fa9a
ISW1.YEAST|502.616,26,#00fa9a
ISW2.ARATH|490.604,26,#00fa9a
ISWI.DROME|431.545,26,#00fa9a
O00914.PLAFA|623.737,26,#00fa9a
DBP8.YEAST|238.349,27,#dc143c
DDX49.DROME|233.346,27,#dc143c
G2HDZ1.PANTR|230.343,27,#dc143c
RH36.ARATH|285.397,27,#dc143c
INO80.HUMAN|1101.1214,26,#00fa9a
INO80.SCHPO|1429.1542,26,#00fa9a
SRCAP.HUMAN|2043.2156,26,#00fa9a
SWR1.YEAST|1246.1359,26,#00fa9a
CSHB.BACSU|231.340,27,#dc143c
RHLB.HAEIN|241.350,27,#dc143c
Y018.MYCGE|863.976,22,#ffd700
Y020.MYCPN|862.975,22,#ffd700
DDX47.CAEEL|269.378,26,#00fa9a
O96264.PLAF7|381.489,26,#00fa9a
Q9VIF6.DROME|286.395,26,#00fa9a
RH10.ARATH|246.355,26,#00fa9a
RRP3.YEAST|307.416,26,#00fa9a
P74552.SYNY3|855.970,22,#ffd700
Q9RKT0.STRCO|805.917,22,#ffd700
YWQA.BACSU|749.862,22,#ffd700
P94295.BACCE|896.1008,25,#00ff00
Q9RUX1.DEIRA|422.532,25,#00ff00
Q9Z757.CHLPN|999.1110,25,#00ff00
O84559.CHLTR|1014.1125,22,#ffd700
DBP4.SCHPO|269.380,23,#0000cd
DBP4.YEAST|277.388,23,#0000cd
DDX10.HUMAN|299.410,23,#0000cd
Q9VX34.DROME|318.429,23,#0000cd
MED34.ARATH|293.408,22,#ffd700
O13399.USTMD|231.342,22,#ffd700
O83141.TREPA|361.471,22,#ffd700
Q9YCA1.AERPE|850.955,22,#ffd700
RECQ1.MOUSE|296.409,22,#ffd700
DBP10.SCHPO|328.441,23,#0000cd
DBP10.YEAST|421.527,23,#0000cd
P90549.LEIAM|250.368,23,#0000cd
RH29.ARATH|255.366,23,#0000cd
RECG.MYCTU|503.629,21,#ff8c00
DDX24.MOUSE|574.682,22,#ffd700
MAK5.SCHPO|376.484,22,#ffd700
MAK5.YEAST|450.574,22,#ffd700
P91340.CAEEL|427.535,22,#ffd700
RH13.ARATH|488.597,22,#ffd700
SRMB.ECOLI|234.343,22,#ffd700
SRMB.HAEIN|234.343,22,#ffd700
DDX21.HUMAN|422.532,20,#00ced1
O54116.STRCO|296.403,20,#00ced1
Q9RKJ0.STRCO|288.395,20,#00ced1
Q9RXH8.DEIRA|274.384,20,#00ced1
RH7.ARATH|335.441,20,#00ced1
RH7.SPIOL|346.452,20,#00ced1
Q9RT50.DEIRA|556.674,21,#ff8c00
Q9WY48.THEMA|566.685,21,#ff8c00
RECG.AQUAE|560.677,21,#ff8c00
RECG.ARATH|749.868,21,#ff8c00
RECG.BORBU|460.578,21,#ff8c00
RECG.ECOLI|470.589,21,#ff8c00
RECG.HELPY|425.538,21,#ff8c00
RECG.SYNY3|603.722,21,#ff8c00
RECG.TREPA|475.593,21,#ff8c00
C9QP42.DROME|255.364,20,#00ced1
IF4A.CANAL|248.357,20,#00ced1
IF4A.LEIBR|253.362,20,#00ced1
Q9RZJ2.DEIRA|899.1005,18,#9932cc
Q9U2S8.CAEEL|517.631,19,#ff4500
Q9UF71.HUMAN|312.428,19,#ff4500
RAD54.HUMAN|496.611,19,#ff4500
RAD54.SCHPO|610.725,19,#ff4500
RAD54.YEAST|655.770,19,#ff4500
RDH54.SCHPO|532.647,19,#ff4500
RDH54.YEAST|664.778,19,#ff4500
UVRB.HELPY|433.548,16,#800080
UVRB.MYCPN|435.550,16,#800080
UVRB.THET8|425.540,16,#800080
HRQ1.YEAST|520.633,18,#9932cc
O06359.MYCTU|287.402,18,#9932cc
O26592.METTH|272.384,18,#9932cc
Q9RY85.DEIRA|261.373,18,#9932cc
Q9X915.STRCO|322.437,18,#9932cc
YPRA.BACSU|280.389,18,#9932cc
UVRB.MYCA5|430.546,11,#4682b4
UVRB.TREPA|427.543,11,#4682b4
NPH2.MSEPV|402.526,15,#8fbc8f
O77360.PLAF7|882.1007,15,#8fbc8f
MS116.SCHPO|278.388,16,#800080
MS116.YEAST|361.471,16,#800080
RH31.ARATH|488.601,16,#800080
RH33.ARATH|616.729,16,#800080
O97290.PLAF7|502.616,17,#b03060
Y308.MYCGE|202.311,17,#b03060
Y443.MYCPN|202.311,17,#b03060
YG65.SCHPO|885.1023,9,#008080
Q9RZ22.DEIRA|312.435,11,#4682b4
DDX27.HUMAN|449.558,15,#8fbc8f
DRS1.SCHPO|490.599,15,#8fbc8f
DRS1.YEAST|462.574,15,#8fbc8f
O96497.TRYCR|408.524,15,#8fbc8f
Q9VRI0.DROME|243.378,15,#8fbc8f
RH16.ARATH|286.431,15,#8fbc8f
RH28.ARATH|398.507,15,#8fbc8f
MPH1.SCHPO|415.537,16,#800080
MPH1.YEAST|503.612,16,#800080
Q9VDA0.DROME|418.539,16,#800080
UCP12.SCHPO|796.927,9,#008080
YL419.YEAST|852.979,9,#008080
O58791.PYRHO|302.406,11,#4682b4
Y425.MYCGE|233.343,12,#d2691e
Y623.MYCPN|234.344,12,#d2691e
DCL1.ARATH|647.768,15,#8fbc8f
DCR1.DROME|488.606,15,#8fbc8f
DCR1.SCHPO|343.467,15,#8fbc8f
DICER.HUMAN|433.556,15,#8fbc8f
H2QX44.PANTR|609.734,15,#8fbc8f
Q93413.CAEEL|750.872,15,#8fbc8f
SPNE-DROME|358.485,9,#008080
O26752.METTH|430.547,11,#4682b4
O57819.PYRHO|420.538,11,#4682b4
Y1401.METJA|409.530,11,#4682b4
Q9SEV8.GUITH|237.346,12,#d2691e
DDX52.HUMAN|398.507,14,#32cd32
Q21736.CAEEL|359.470,14,#32cd32
Q9VVK8.DROME|352.461,14,#32cd32
RH57.ARATH|366.475,14,#32cd32
ROK1.CANAL|363.473,14,#32cd32
ROK1.SCHPO|273.383,14,#32cd32
ROK1.YEAST|357.467,14,#32cd32
Q20644.CAEEL|629.765,9,#008080
Q9VX63.DROME|445.577,9,#008080
O25379.HELPY|418.536,11,#4682b4
Q20935.CAEEL|244.352,12,#d2691e
MLE-DROME|647.773,9,#008080
F4T9B1.ECOLX|732.849,11,#4682b4
IRC3.SCHPO|249.360,11,#4682b4
IRC3.YEAST|260.373,11,#4682b4
RADD.ECOLI|237.345,11,#4682b4
FAL1.CANAL|251.360,12,#d2691e
FAL1.YEAST|251.360,12,#d2691e
O44781.CAEEL|251.360,12,#d2691e
RH34.ARATH|247.356,12,#d2691e
DHX9.CAEEL|644.778,9,#008080
D6H7E1.NEIGO|435.551,11,#4682b4
UVRB.BORBU|433.549,11,#4682b4
UVRB.RICPR|429.545,11,#4682b4
UVRB.SYNY3|430.546,11,#4682b4
UVRB.ZYMMO|460.576,11,#4682b4
O96239.PLAF7|1332.1448,7,#808000
DHX9.BOVIN|632.766,9,#008080
RECG.BACSU|453.573,4,#228b22
RECG.STAA8|462.580,4,#228b22
RECG.STRPN|448.567,4,#228b22
DDM1.ARATH|524.638,7,#808000
HELLS.MOUSE|582.695,7,#808000
IRC5.YEAST|603.717,7,#808000
DEXH1.ARATH|492.623,9,#008080
DEXH5.ARATH|483.618,9,#008080
MFD.SYNY3|843.953,4,#228b22
Y3206.ARATH|468.578,4,#228b22
CHR19.ARATH|588.701,7,#808000
FFT1.SCHPO|765.877,7,#808000
FFT2.SCHPO|924.1037,7,#808000
FFT3.SCHPO|761.874,7,#808000
FUN30.YEAST|949.1063,7,#808000
SMRCD.DROME|652.765,7,#808000
SMRCD.HUMAN|854.967,7,#808000
DDX17.TRYBB|331.440,8,#483d8b
Q9ZCQ0.RICPR|221.329,8,#483d8b
MFD.RICPR|778.887,4,#228b22
DDX3.DROME|538.654,5,#708090
O42375.DANRE|458.568,5,#708090
O97031.DUGJA|451.561,5,#708090
O97032.DUGJA|421.531,5,#708090
BRM.ARATH|1308.1422,7,#808000
CHR12.ARATH|713.827,7,#808000
SMCA4.HUMAN|1080.1194,7,#808000
SNF2.YEAST|1087.1201,7,#808000
SNF21.SCHPO|736.850,7,#808000
SYD.ARATH|1073.1187,7,#808000
MFD.HAEIN|799.909,4,#228b22
MFD.MYCTU|845.955,4,#228b22
O84753.CHLTR|754.864,4,#228b22
Q9RU62.DEIRA|711.821,4,#228b22
DBP7.SCHPO|413.541,5,#708090
PRP5.YEAST|502.620,5,#708090
RH22.ARATH|407.518,5,#708090
RH39.ARATH|354.466,5,#708090
Y8611.DROME|623.749,5,#708090
O26412.METTH|229.335,6,#8b0000
O30265.ARCFU|287.390,6,#8b0000
O86686.STRCO|268.374,6,#8b0000
Y1574.METJA|264.374,6,#8b0000
Q9RD88.STRCO|452.554,2,#8b4513
Q9T0Y3.9CAUD|197.310,2,#8b4513
Q9T1H9.9CAUD|198.311,2,#8b4513
V51K.BPL79|170.283,2,#8b4513
MFD.BACSU|820.930,4,#228b22
O85234.LACSK|817.927,4,#228b22
Q9X1G2.THEMA|568.678,4,#228b22
DBP5.SCHPO|338.453,5,#708090
DBP5.YEAST|316.431,5,#708090
DD19B.HUMAN|319.434,5,#708090
DDX19.DICDI|293.409,5,#708090
DDX19.DROME|300.415,5,#708090
DDX25.HUMAN|324.439,5,#708090
RH38.ARATH|325.442,5,#708090
DDX42.HUMAN|483.593,2,#8b4513
O15919.9TRYP|349.466,2,#8b4513
Q93382.CAEEL|496.605,2,#8b4513
Q9VPT3.DROME|350.461,2,#8b4513
Q9VTC1.DROME|499.609,2,#8b4513
DPOLQ.DROME|499.616,4,#228b22
HELS.AERPE|265.384,4,#228b22
O67347.AQUAE|250.385,4,#228b22
YP93.CAEEL|1233.1351,4,#228b22
CHR9.ARATH|528.641,2,#8b4513
Q18241.CAEEL|777.904,2,#8b4513
GTA.NPVAC|337.453,3,#2e8b57
Q9VHY2.DROME|770.884,3,#2e8b57
Q9YNZ9.NPVCF|329.444,3,#2e8b57
TTF2.DROME|890.1006,3,#2e8b57
Q9XVZ6.CAEEL|319.433,0,#2f4f4f
RDE12.CAEEL|628.745,0,#2f4f4f
Y4443.DROME|560.673,0,#2f4f4f
SPB4.SCHPO|242.354,1,#556b2f
SPB4.YEAST|247.365,1,#556b2f
CHR8.ARATH|727.840,2,#8b4513
ERCC6.HUMAN|839.952,2,#8b4513
Q93781.CAEEL|521.635,2,#8b4513
Q9VF02.DROME|1690.1813,2,#8b4513
RAD26.YEAST|651.768,2,#8b4513
RHP26.SCHPO|625.739,2,#8b4513
Q22944.CAEEL|27.133,0,#2f4f4f
DDX55.CAEEL|243.354,1,#556b2f
DDX55.DROME|250.362,1,#556b2f
RH18.ARATH|260.373,1,#556b2f
DBP2.YEAST|343.455,0,#2f4f4f
DDX17.DROME|511.625,0,#2f4f4f
Q8MZI3.DROME|387.499,0,#2f4f4f
Q9SP26.PEA|382.491,0,#2f4f4f
Q9W3M7.DROME|469.586,0,#2f4f4f
Q9W744.CHICK|312.424,0,#2f4f4f
Q9XUW5.CAEEL|359.471,0,#2f4f4f
Q9Y1M2.9ASCI|379.491,0,#2f4f4f
RH20.ARATH|329.439,0,#2f4f4f
RH40.ARATH|665.774,0,#2f4f4f
